"New E-Goi Customers","Novos Clientes E-Goi"
"You don't have any template","Ainda não tem nenhum modelo"
"Subscriber Id:","ID Subscritor"
"Loading...","A carregar...."
"Please wait...","Por favor aguarde..."
"Log Detail","Detalhes Registo"
"Log Details","Detalhes Registo"
"Upssss","Upssss"
"No data found. Try refreshing the report once again.","No data found. Try refreshing the report once again."
"Email Client","Cliente de Email"
"Desktop Client","Cliente de Email Desktop"
"Webmail","Webmail"
"Mobile","Mobile"
"Email Cliente","Cliente de Email"
"No data","No data"
"Opens %s","Aberturas %s"
"Unopens %s","Por abrir %s"
"Sent %s","Enviado %s"
"Bounces %s","Ressalto %s"
"Metrics","Métricas"
"Messages sent","Mensagens enviadas"
"Delivered messages","Mensagens entregues"
"Bounces","Ressalto"
"Unopens","Por Ler"
"Unique opens","Aberturas únicas"
"Opens","Aberturas"
"Unique clickthroughs","clickthroughs únicos"
"Clickthroughs","clickthroughs"
"Clickthroughs Rate","Taxa de clickthroughs"
"Complaint Rate","Taxa de queixas"
"Complaints","Queixas"
"Opt-outs","Saídas"
"Engagement","Engagement"
"Outgoing","Saídas"
"Amount of opens compared with unopens. The more opens, the more engaging your campaign and the higher your overall effectiveness will be. This is key to optimize deliverability for your next campaigns.","Número de aberturas comparado com não-aberturas. Quantas mais aberturas, maior compromisso  tem a sua campanha e maior é o efeito da mesma. Esta valor é chave para optimização para futuras campanhas"
"Amount of <b>delivered</b> messages compared with e-mails which <b>bounced back</b> (eg. invalid address, mailbox full, etc.). If your mailing list is <b>clean</b> and <b>up-to-date</b>, your delivery rate should almost always be 99%-100%.","Número de mensagens <b>entregues</b> comparadas com o número de emails que <b>bouced back</b> (ex: email inválido, caixa de correio cheia, etc), a sua taxa deve ser quase sempre de 99%-100%"
"Recommendations Success","Sucesso Recomendações"
"Facebook","Facebook"
"Tweets","Tweets"
"Other Social","Outro Social"
"Total","Total"
"Total City","Total Cidade"
"SMS Sent","SMS Enviados"
"Delivered","Entregues"
"Not Delivered","Não Entregues"
"Invalid","Inválido"
"NetWorks","Redes"
"Sent Errors","Erros Envio"
"View Errors","Erros Visualização"
"SMS Comment","Comentário SMS"
"left","restantes"
"Notify Customer by SMS","Notificar cliente por SMS"
"Comment Text","Comentário"
"Notify Customer by Email","Notificar Cliente por Email"
"Visible on Frontend","Visível na Loja"
"Notified","Notificado"
"Not Notified","Não Notificado"
"Comment","Comentário"
"Notification Not Applicable","Notificação Não aplicável"
"Actions","Ações"
"Products Added to Compare History","Histórico de Produtos Adicionados para Comparação"
"Products views History","Histórico de Visualizações Produtos"
"Products Added to Wishlist History","Histórico de Produtos Adicionados aos Favoritos"
"Products Parent Categories History","Histórico de Produtos em Categorias Superiores"
"Products Attributes History","Histórico Atributos Produto"
"CANNOT_BE_DELETED","The campaign is periodic or event-triggered and cannot be deleted using the API"
"ALREADY_DELETED","A campanha já foi removida"
"CAMPAIGN_NOT_FOUND","Campanha não encontrada"
"CANNOT_EDIT_CAMPAIGN","A camapnha está a ser enviada e não pode ser editada"
"CAMPAIGN_NOT_VALID","A campanha ou o model são nválidos."
"BIRTH_DATE_ALREADY_EXISTS","A data de nascimento já existe na Lista"
"LIST_NOT_FOUND","Lista não encontrada"
"MESSAGE_TOO_LONG","A mensagem excede os 160 caracteres"
"INVALID_FILE","Ficheiro ZIP inválido"
"NO_ACCESS","Sem chave API ou sem permissão para realizar ação"
"BIRTH_DATE_REQUIRED","A data de nascimento já existe na Lista"
"LIST_MISSING","Lista necessária"
"NO_MESSAGE","Mensagem vazia"
"NO_PASSWORD","Palavra-passe vazia"
"SUBSCRIBER_MISSING","Missing subscriber e-mail or reference number"
"FIELD_NAME_MISSING","Missing extra field name"
"SEGMENT_NAME_MISSING","Missing segment name"
"LIST_MISSING","Lista necessária"
"NO_SUBSCRIBERS","Missing contacts to import"
"NO_COMPARE_FIELD","Missing fields to compare by"
"NO_ZIP_FILE","Missing ZIP file"
"NO_SUBJECT","E-mail subject missing"
"INVALID_FROM","Missing/incorrect sender code or the sender hasn't been validated yet in E-goi"
"NO_MESSAGE","Mensagem vazia"
"FAX_REQUIRED","Missing fax number"
"NO_FAX_FILE","Missing fax file"
"NO_AUDIO_FILE","Missing audio file"
"NO_SUBJECT","E-mail subject missing"
"NO_USERNAME","Missing username"
"NO_USERNAME_AND_PASSWORD","Missing username and password"
"SEGMENT_NAME_MISSING","Missing segment name"
"NO_CELLPHONE_OR_TELEPHONE","Missing mobile or phone number"
"FIRST_NAME_REQUIRED","Missing first name"
"TELEPHONE_REQUIRED","Missing phone number"
"EMAIL_REQUIRED","Missing e-mail address"
"NO_CAMPAIGN","Missing campaign hash"
"LAST_NAME_REQUIRED","Missing last name"
"NO_SEARCH_FIELDS","Missing fields to run the search on"
"CANNOT_ADD_MORE_SUBSCRIBERS","No more subscribers can be added (your account's subscriber limit has been exceeded)"
"MAX_SUBSCRIBERS_FILE_LIMIT_EXCEEDED","The amount of subscribers you're adding exceeds 50 MB in size"
"SUBSCRIBER_DATA_CANNOT_BE_EDITED","The subscription information could not be edited because the subscriber has been removed"
"NO_SEGMENTS_FOUND","No segment found"
"INVALID_URL","Could not load the contents of the external webpage URL"
"NO_DATA_TO_INSERT","No new data has been entered for this subscriber"
"INVALID_FILE","Ficheiro ZIP inválido"
"FILE_TOO_LARGE","The imported file is larger than 8 MB in size"
"FIELD_NOT_FOUND","The extra field was not found"
"EXTRA_FIELD_XX_ALREADY_EXISTS","The extra field XX already exists in the mailing list"
"INVALID_EXTRA_FIELD","An extra field has an invalid name or contains invalid data"
"FAX_ALREADY_EXISTS","The fax number already exists in the mailing list"
"INVALID","The username is not valid"
"FIST_NAME_ALREADY_EXISTS","The first name already exists in the mailing list"
"SEGMENT_NOT_FOUND","The segment has not been found in the mailing list"
"LAST_NAME_ALREADY_EXISTS","The last name already exists in the mailing list"
"SUBSCRIBER_ALREADY_REMOVED","The subscriber has already been removed"
"SUBSCRIBER_NOT_FOUND","Subscriber not found"
"SUBSCRIBER_FORMAT_ERROR","The format of the mobile, telephone or fax number is not valid"
"TELEPHONE_ALREADY_EXISTS","The phone number already exists in the mailing list"
"INVALID_TYPE","The extra field type is not valid"
"EMAIL_ALREADY_EXISTS","The e-mail already exists in the mailing list"
"EMAIL_ADDRESS_INVALID_DOESNT_EXIST","The e-mail address does not exist"
"EMAIL_ADDRESS_INVALID","The e-mail address is invalid (syntax error)"
"EMAIL_ADDRESS_INVALID_MX_ERROR","The e-mail address is invalid (MX record error)"
"INTERNAL_ERROR","An internal server problem occurred"
