"# of Use","# Usado"
"%1$s incl tax.","%1$s com imposto."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(ns)"
"%s and above","%s e superior"
"%s-%s of %s","%s-%s de %s"
"Products per Page on List Allowed Values","Produtos por página na Lista de valores permitidos"
"Products per Page on List Default Value","Produtos por página por omissão em Lista"
"Properties","Propriedades"
"Qty","Qt"
"Qty Increments","Múltiplos Qt."
"Qty Uses Decimals","Qt. utiliza decimais"
"Qty for Item\'s Status to Become Out of Stock","Qtd para o item ficar Indisponível"
"Qty:","Qtd:"
"Quantity","Quantidade"
"Quick Create","Criação Rápida"
"Quick Overview","Sumário"
"Quick simple product creation","Criação rápida de um produto simples"
"Records for ""%s"" store found.","Registos para ""%s"" encontrados"
"Redirect","Redirecionar"
"Redirect URL","URL de redirecionamento"
"Regular Price:","Preço Normal:"
"Related Products","Produtos Relacionados"
"Remove","Remover"
"Remove Product From Websites","Remover Produto de Sites"
"Remove This Item","Remover Este Item"
"Remove attribute from attribute set","Remover atributos de grupo de atributos"
"Remove attribute set","Remover grupo de atributos"
"Remove custom option","Remover opção personalizada"
"Remove group from attribute set","Remover grupo de Grupo de Atributos"
"Remove option","Remover opção"
"Remove product assignment","Remover associação do produto"
"Remove product image","Remover imagem do produto"
"Remove product link","Remover link do produto"
"Remove value from custom option","Remove valor de opção personalizada"
"Rename existing group","Renomear grupo existente"
"Rename group","Renomear grupo"
"Reorganize EAV category structure to flat structure","Reorganizar a estrutura de categorias de EAV para fixa"
"Reorganize EAV product structure to flat structure","Reorganizar a estrutura de produtos de EAV para fixa"
"Reset","Repor Valores"
"Results","Resultados"
"Results per page","Resultados por página"
"Retrieve attribute data","Obter dados do atributo"
"Retrieve attribute list","Obter lista de atributos"
"Retrieve attribute options","Obter opções de atributos"
"Retrieve categories tree","Obter árvore das categorias"
"Retrieve category attributes","Obter atributos da categoria"
"Retrieve category data","Obter dados da categoria"
"Retrieve hierarchical tree","Obter listagem hierárquica"
"Retrieve linked products","Obter produtos ligados"
"Retrieve list of assigned products","Obter lista de produtos associados"
"Retrieve list of option values","Obter lista de valores de opções"
"Retrieve list of product custom options","Obter lista de opções personalizadas do produto"
"Retrieve one level of categories by website/store view/parent category","Obter um nível de categorias por sítio/vista de loja/categoria superior"
"Retrieve option value info","Obter informação do valor da opção"
"Retrieve product","Obter produto"
"Retrieve product attribute sets","Obter grupo de atributos do produto"
"Retrieve product image","Obter imagem do produto"
"Retrieve product image list","Obter lista de imagens do produto"
"Retrieve product image types","Obter lista de tipos de imagem"
"Retrieve product link type attributes","Obter atributos do tipo de link do produto"
"Retrieve product link types","Obter tipos de link do produto"
"Retrieve product tier prices","Obter descontos em quantidade do produto"
"Retrieve product types","Obter tipos de produto"
"Retrieve products data","Obter dados de produtos"
"Retrieve products list by filters","Obter tipos de produtos através de filtros"
"Reviews","Análises"
"Roll Over for preview","Passe o rato por cima para ver"
"Root","Principal"
"SKU","SKU"
"SKU length should be %s characters maximum.","O comprimento do SKU deve ser no máximo de %s"
"Save","Guardar"
"Save Attribute","Guardar Atributo"
"Save Attribute Set","Guardar Grupo de Atributos"
"Save Category","Guardar Categoria"
"Save Search","Guardar pesquisa "
"Save and Continue Edit","Guardar e Continuar Edição"
"Saved %d record(s)","%d registo(s) gravado(s)"
"Scope","Âmbito"
"Scope must not be changed, because the attribute is used in configurable products.","O âmbito atual não pode ser alterado porque o atributo é utilizado em produtos conflagráveis."
"Search","Pesquisa"
"Search Engine Optimizations","Otimizações Motores de Busca"
"Search Information","Informação de Pesquisa "
"Search Query","Texto a pesquisar"
"Search Term with such search query already exists.","Já existe um termo de pesquisa com a consulta especificada."
"Searchable","Pesquisável"
"See price before order confirmation.","Mostrar preço antes de confirmação encomenda."
"Select Category...","Selecione a Categoria..."
"Select Configurable Attributes ","Selecione os Atributos Configuráveis "
"Select Product...","Selecione o Produto..."
"Select type of option","Selecione o tipo de opção"
"Select type options required values rows.","Selecione o tipo de opções obrigatórios nos valores da linha."
"Selected Product Types","Tipos de Produtos Selecionados"
"Send Count","Nº Envios"
"Set Ascending Direction","Definir direção ascendente"
"Set Descending Direction","Definir direção descendente"
"Set Name","Definir Nome"
"Set Root Category for Store","Definir Categoria-Principal para a Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Defina a categoria principal para esta loja na <a href=""%s"">configuração</a>"
"Set special price","Preço especial"
"Set/Get current store view","Definir/Obter vista atual de loja"
"Settings","Definições"
"Share Facebook","Partilhar Facebook"
"Share on Facebook","Partilhar no Facebook"
"Share on Twitter","Partilhar no Twitter"
"Shop By","Opções Compra"
"Shopping Options","Filtre os  Produtos"
"Show","Mostrar"
"Show Details","Mostrar Detalhes"
"Show Tags","Mostrar Etiquetas"
"Simple Product","Produto Simples"
"Site Map","Mapa do Sítio"
"Sitemap","Mapa do Site"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ignorar importação da Linha, ""%s"" não é um valor válido para o campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","A ignorar linha a importar, campo obrigatório ""%s"" para novo cliente não está definido."
"Skip import row, the value ""%s"" is invalid for field ""%s""","A ignorar linha a importar, o valor ""%s"" não é válido para o campo ""%s""."
"Skipping import row, required field ""%s"" for new products is not defined.","A ignorar linha a importar, campo obrigatório ""%s"" para novos produtos não está definido."
"Skipping import row, required field ""%s"" is not defined.","A ignorar linha a importar, campo obrigatório ""%s"" não definido."
"Skipping import row, store ""%s"" field does not exist.","A ignorar linha a importar, loja ""%s"" não existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","A ignorar linha a importar,  o valor ""%s"" não é válido para o campo ""%s""."
"Small Image Width","Largura Imagem Pequena"
"Some of the processed products have no SKU value defined. Please fill it prior to performing operations on these products.","Alguns dos produtos processados não tem SKU definido. Por favor preencha-o antes de continuar."
"Some of the selected item options are not currently available.","Algumas das opções selecionadas não estão disponíveis."
"Sort By","Ordenar por"
"Sort Order","Ordenação"
"Source Model","Código do Modelo"
"Special Expires On: %s","Oferta Especial Termina Em: %s"
"Special Price:","Preço Especial:"
"Special Price: %s","Preço Especial: %s"
"Starting at:","A partir de:"
"Static","Estático"
"Static block and products","Bloco estático e produtos"
"Static block only","Apenas blocos estáticos"
"Status","Estado"
"Stock Availability","Disponibilidade inventário"
"Store","Loja"
"Store View","Vista de Loja"
"Stretch","Ajustar"
"Subscribe to RSS Feed","Subscrever para o feed RSS"
"Super product attributes configuration","Configuração de atributos de Super Produto"
"Synonym For","Sinónimo Para"
"System Properties","Propriedades do sistema"
"Tag Name","Nome da etiqueta"
"Tax","Imposto"
"Template","Template"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module","The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module"
"The From Date value should be less than or equal to the To Date value.","O valor do campo Data De, deve ser menor ou igual que o valor do campo Data Até."
"The attribute code \'%s\' is reserved by system. Please try another attribute code","O código do atributo %s está reservado pelo sistema. Por favor tente um outro."
"The attribute model is not defined","O modelo do atributo não está definido."
"The attribute set has been saved.","O conjunto de atributos foi guardado."
"The base directory to upload file is not specified.","O diretório base para carregamento de ficheiros não está definido."
"The category has been deleted.","A categoria foi eliminada."
"The category has been saved.","A categoria foi gravada."
"The comparison list was cleared.","A lista de comparativos foi limpa."
"The file '%s' for '%s' has an invalid extension","O ficheiro '%s' para '%s' tem uma extensão inválida."
"The file '%s' you uploaded is larger than %s Megabytes allowed by server","O ficheiro '%s' que carregou é maior que os %s MB permitidos pelo servidor."
"The file you uploaded is larger than %s Megabytes allowed by server","O ficheiro que carregou é maior que os %s MB permitidos pelo servidor."
"The filters must be an array.","Os filtros tem de ser um array."
"The image contents is not valid base64 data.","O conteúdo da imagem não são válidos para base64"
"The image is not specified.","A imagem não está especificada."
"The model collection resource name is not defined.","O nome do recurso da coleção não está definido."
"The product %s has been added to comparison list.","O produto %s foi adicionado à lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi removido da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi removido."
"The product attribute has been saved.","O atributo do produto foi guardado."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi removido."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.","O produto foi guardado."
"The product has required options","O produtos tem opções obrigatórias"
"The review has been deleted","A análise foi removida"
"The review has been saved.","A análise foi guardada"
"The review was removed by another user or does not exist.","A análise foi removida por outro utilizador ou não existe."
"The search was deleted.","A pesquisa foi removida."
"The text is too long","O texto é demasiado comprido"
"There are no %s available.","Não está disponível %s."
"There are no customers for this alert","Não existem clientes para este alerta"
"There are no customers for this alert.","Não existem clientes para este alerta."
"There are no products matching the selection.","Não existem produtos que correspondam à seleção"
"There was an error while request processing.","Ocorreu um erro ao processar o pedido."
"This Attribute no longer exists","Este atributo já não existe"
"This attribute cannot be deleted.","Este atributo não pode ser removido."
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products.","Este atributo é utilizado em produtos configuráveis."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é utilizado em produtos configuráveis. Não o pode remover deste grupo de atributos."
"This attribute no longer exists","Este atributo já não existe"
"This attribute set no longer exists.","O grupo de atributos já não existe."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos utilizador em produtos configuráveis. Por favor mova esses atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos de sistema. Por favor mova os atributos de sistema para outro grupo e tente novamente."
"This is a required option","Esta opção é obrigatória"
"This product no longer exists.","Este produto já não está disponível."
"This search no longer exists.","Esta pesquisa já não está disponível."
"This setting will be applied when all prices in the specific price interval are equal.","Esta opção será aplicada quando todos os preços no intervalo especificado forem iguais."
"Tier Pricing","Preços de quantidade"
"Tile","Cobertura"
"Time Format","Formato da Hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified","Para re-indexar os produtos ativos, a loja ou produto tem que ser especificado."
"To see product price, add this item to your cart. You can always remove it later.","Para ver o preço deste produto, por favor adicione-o ao carrinho. Pode sempre remove-lo depois."
"Top/Left","Superior/Esquerdo"
"Top/Right","Superior/Direito"
"Total Qty Base Items","Qt. total itens base"
"Total incl. Tax: %1$s","Total Inc. Imposto: %1$s"
"Total of %d record(s) have been deleted.","Um total de %d registos foram removidos"
"Total of %d record(s) have been updated.","Um total de %d registos foram atualizados"
"Total of %d record(s) were updated","Um total de %d registo(s) foram atualizados"
"Type","Tipo"
"URL Rewrite Management","Gestão de Rescritas de URL"
"Unable to complete this request.","Não foi possível terminar o pedido."
"Unable to find a search term to delete.","Não foi possível encontrar o termo de pesquisa a remover."
"Unable to find an attribute to delete.","Não foi possível encontrar o atributo a remover."
"Unable to get the product ID.","Não foi possível obter o ID do produto."
"Unassigned Attributes","Atributos por atribuir"
"Unknown EAV indexer type ""%s"".","Tipo de indexante EAV desconhecido ""%s""."
"Unknown attribute: %s.","Atributo desconhecido: %s"
"Unsupported product type ""%s"".","Tipo de produto não suportado ""%s""."
"Up-sells","Vendas Superiores"
"Update","Atualizar"
"Update Attributes","Atualizar atributos"
"Update Tier Price","Atualizar Preços de desconto por quantidade"
"Update assigned product","Atualizar produto associado"
"Update attribute","Atualizar atributo"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update custom option of product","Atualizar opção personalizada de produto"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar descontos por quantidade do produto"
"Update value of custom option","Atualizar valor de opção personalizada"
"Upload new product image ","Carregar nova imagem do produto "
"Use Canonical Link Meta Tag For Categories","Utilizar na forma Canónica as Ligações de Meta Tags para Categorias"
"Use Canonical Link Meta Tag For Products","Utilizar na forma Canónica as Ligações de Meta Tags para Produtos"
"Use Categories Path for Product URLs","Usar o caminho das categorias na Url dos produtos"
"Use Config Settings","Utilizar definições de configuração"
"Use Default Value","Utilizar Valor por Omissão"
"Use Flat Catalog Category","Usar catálogo fixo de categorias"
"Use Flat Catalog Product","Usar catálogo fixo de produtos"
"Use In Layered Navigation","Usar na Navegação por Atributos"
"Use In Search Results Layered Navigation","Utilizar na Navegação por Atributos dos Resultados de Pesquisa"
"Use JavaScript Calendar","Utilizar calendário em JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL's estáticas para conteúdo média no WYSIWYG para o Catálogo"
"Use To Create Configurable Product","Utilize Para Criar Produto Configurável"
"Use Tree Like Category Sitemap","Usar mapa do site em forma árvore"
"Use config","Utilizar Configuração"
"Use default","Utilizar por omissão"
"Use for Promo Rule Conditions","Utilizar em Promoções"
"Use four-digit year format.","Utilize o ano num formato de 4 dígitos"
"Use in Advanced Search","Utilizar na pesquisa avançada"
"Use in Layered Navigation","Usar na Navegação por Atributos"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utilizar na Navegação por Atributos<br>(Apenas pode ser utilizado com o tipo de entrada ""Menu de Selecção"")"
"Use in Quick Search","Uilizar na Pesquisa Simples"
"Used for Sorting in Product Listing","Utilizado para definir ordem de listagem dos produtos"
"Used in Product Listing","Utilizado na Listagem de Produtos"
"Value for ""%s"" is invalid.","O valor para ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","O valor para ""%s"" é inválido: %s"
"Varchar","Varchar"
"View Details","Ver Detalhes"
"View as","Ver como"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas páginas do catálogo e na Interface de Utilizador"
"Visible on Product View Page on Front-end","Visível na página de exibição do produto na loja"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca de água"
"Watermark Default Size","Tamanho por omissão da marca de água"
"Watermark Opacity, Percent","Percentagem de Opacidade na Marca de Água"
"Watermark Position","Posição da marca de água"
"We Also Recommend","Também Recomendamos"
"Website","Site"
"Websites","Sites"
"What's this?","O que é isto?"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Se se deve mostrar opção ""Todos"" no menu de seleção ""Mostrar X por Página"""
"Will make search for the query above return results for this search.","Fará com que uma pesquisa pelos termos acima retorne uma pesquisa por estes"
"Wrong BuyRequest instance in options group.","Instância errada de BuyRequest nas opções do grupo."
"Wrong configuration item instance in options group.","As opções do grupo contém uma instância de configuração errada"
"Wrong configuration item option instance in options group.","Uma opção do grupo contém uma instância de configuração errada"
"Wrong option instance type in options group.","Tipo de instância de opção errada nas opções grupo"
"Wrong option type to get group instance.","Tipo de opção incorreta para obter o grupo de instância."
"Wrong product instance type in options group.","Tipo de instância de produto errada nas opções grupo"
"Wrong product type filter specified","Tipo de filtro de produto especificado inválido."
"Wrong product type to extract configurable options.","Tipo de produto errado para obter opções configuráveis."
"Year Range","Intervalo Ano"
"Yes","Sim"
"You cannot remove system attribute from this set.","Não pode remover atributos de sistema deste grupo."
"You have no items to compare.","Não existem itens para comparar"
"You may also be interested in the following product(s)","Também pode estar interessado nos seguintes produtos"
"Zoom In","Aumentar"
"Zoom Out","Diminuir"
"and","e"
"and above","e superiores"
"categories","categorias"
"each","cada"
"ex. http://domain.com","ex: http://omeusite.com"
"leave blank if its not an image","deixe em branco se não for uma imagem"
"per page","por página"
"products","produtos"
"px.","px."
"save","guardar"
"select all","Selecionar tudo"
"unselect all","Desmarcar todos"
"x","x"
